dataset,model,strategy,sample_id,target_evidence_id,rank,n_negatives,target_score,best_negative_score,positive_margin,top_evidence_id,top_is_negative,candidate_evidence_ids
scienceqa,tfidf,random,r009384,603b78dd1d003d80,1,20,0.3578833602494258,0.24590371478843298,0.11197964546099282,603b78dd1d003d80,False,"[""603b78dd1d003d80"", ""1c978026e6bc8534"", ""ba9d4e92b2071516"", ""9b6dc57631d1cfc7"", ""6d3e9c5899d053b2"", ""7600edb9100bf449"", ""51f77d9f05fb616e"", ""7042749b738f0ddd"", ""8b31426ff06dee3c"", ""7de06184651147fa"", ""7e4ea86ac41ec774"", ""514831104bf0b390"", ""158889b1566f00c1"", ""73106b12c994caaf"", ""a29c2d51eef36dcc"", ""c2c1a52fd5259dc0"", ""b1f7074e14d09bcf"", ""513406850e3cb9f6"", ""4162fa8708bdc033"", ""a43666657963b02a"", ""3e4f24382404920c""]"
scienceqa,tfidf,random,r021128,585196038de34dba,1,20,0.28539643407489007,0.2570734662440521,0.028322967830837986,585196038de34dba,False,"[""585196038de34dba"", ""e02912673ef71f1f"", ""7de06184651147fa"", ""85d1969154b956e9"", ""71304536c227c09b"", ""041caa939306e924"", ""603b78dd1d003d80"", ""84bd89e31ab1953b"", ""9b83dc5d0ef7c3fe"", ""c849542c69e55997"", ""31c60745df3c09b7"", ""1ba57f81a803b66c"", ""f04b15120e97198d"", ""94bb9bb11bd84756"", ""0bbd6f0aca3068f8"", ""a20e3924802a511e"", ""2795e5ae90b96972"", ""ba9d4e92b2071516"", ""fed4ef36fa0084de"", ""8653cf633d765be5"", ""80ab30502fc0c29e""]"
scienceqa,tfidf,random,r005612,6e905a600bf1f54e,1,20,0.19666701677409748,0.14816308225826633,0.048503934515831154,6e905a600bf1f54e,False,"[""6e905a600bf1f54e"", ""4798d36539bfcac3"", ""158889b1566f00c1"", ""4c17fc22f4a5629f"", ""e02912673ef71f1f"", ""66f839aaad7d5b87"", ""a50847323aad8f02"", ""e68ce731f0cae2d6"", ""647eb0b3138c9399"", ""5bccdf72a7eed5e0"", ""57d79521a667ad42"", ""07508a28bcaf50c5"", ""8b9881fd8b927077"", ""9bb744f4958c71ab"", ""94bb9bb11bd84756"", ""0d3ed71a06640dff"", ""ba9d4e92b2071516"", ""31c60745df3c09b7"", ""b7d1455efa62a9a1"", ""005e6cd45adce39b"", ""a66317d5a396790a""]"
scienceqa,tfidf,random,r013644,1dc472771e481e34,1,20,0.4570590764190112,0.05718879552211416,0.3998702808968971,1dc472771e481e34,False,"[""1dc472771e481e34"", ""04688630018210f9"", ""7de06184651147fa"", ""d40bddaf8e2e6338"", ""c131dfedc53df915"", ""87a14cd1ae910fa7"", ""9b6dc57631d1cfc7"", ""514831104bf0b390"", ""7e4ea86ac41ec774"", ""25e83bf61adcdbc9"", ""288e0ae1b81cd4ee"", ""1ceaba7bff1870dd"", ""99d31dbdd2b160fb"", ""514ae11d983a4657"", ""7042749b738f0ddd"", ""39475f68197a193c"", ""41fbf731a88d58b1"", ""ff4ed16548800b04"", ""cf3189fb7b944799"", ""f1f411c1a614511f"", ""1951dfd63e1726c3""]"
scienceqa,tfidf,random,r001717,ff4ed16548800b04,1,20,0.7122286525422296,0.2247627749621323,0.4874658775800973,ff4ed16548800b04,False,"[""ff4ed16548800b04"", ""ad9d96a9b6199667"", ""cb935720810e7a32"", ""79415c7d1109bddb"", ""7282ef67a5c62cea"", ""2795e5ae90b96972"", ""d766d705a1d03e7f"", ""e136dfd756b382bd"", ""685f016bdef72207"", ""8b9881fd8b927077"", ""c47287dce57cb8e1"", ""06da021a02d72bfb"", ""57d79521a667ad42"", ""6e905a600bf1f54e"", ""f04b15120e97198d"", ""fed4ef36fa0084de"", ""4ad49ed1e9aa29a5"", ""84bd89e31ab1953b"", ""649d8bc6f50d2c8d"", ""b1f7074e14d09bcf"", ""1c978026e6bc8534""]"
scienceqa,tfidf,random,r011454,288e0ae1b81cd4ee,1,20,0.3958087142514735,0.23511559577544994,0.16069311847602358,288e0ae1b81cd4ee,False,"[""288e0ae1b81cd4ee"", ""5bccdf72a7eed5e0"", ""7600edb9100bf449"", ""1faaa3cf0fa06278"", ""f643330b3583b801"", ""4c17fc22f4a5629f"", ""7638a5a0316ac331"", ""39d7528868849292"", ""8b31426ff06dee3c"", ""84bd89e31ab1953b"", ""04688630018210f9"", ""25e83bf61adcdbc9"", ""435152c7f8be7c7b"", ""6d65b93a58c95ffe"", ""3cf105da7f6de4e2"", ""3a1257facaa94df2"", ""d973b2ab74a8f63f"", ""73106b12c994caaf"", ""4162fa8708bdc033"", ""71304536c227c09b"", ""a66317d5a396790a""]"
scienceqa,tfidf,random,r001683,1ba57f81a803b66c,1,20,0.3865458517058733,0.16342246253398737,0.22312338917188593,1ba57f81a803b66c,False,"[""1ba57f81a803b66c"", ""e638fe53d130b727"", ""685f016bdef72207"", ""04688630018210f9"", ""25e83bf61adcdbc9"", ""d973b2ab74a8f63f"", ""94bb9bb11bd84756"", ""e136dfd756b382bd"", ""f04b15120e97198d"", ""355acb17a404f78f"", ""c942fc356e75e6b9"", ""0226eb7d6bdeb0b0"", ""1faaa3cf0fa06278"", ""4162fa8708bdc033"", ""ad9d96a9b6199667"", ""c940373cfac0bfc5"", ""36ef0dc696a65227"", ""f93ff296980b5f57"", ""0d3ed71a06640dff"", ""f91f0888ee7ee0a3"", ""d670903130336e9b""]"
scienceqa,tfidf,random,r021145,3a1257facaa94df2,1,20,0.5615484869370965,0.07510682352160557,0.4864416634154909,3a1257facaa94df2,False,"[""3a1257facaa94df2"", ""76b59884342e0f4d"", ""7e4ea86ac41ec774"", ""5bccdf72a7eed5e0"", ""f45081f076302dab"", ""9b6f4364f31dddd4"", ""51f77d9f05fb616e"", ""94bb9bb11bd84756"", ""288e0ae1b81cd4ee"", ""2930696d1bd7ba57"", ""8b9881fd8b927077"", ""1656c00ccb3216e4"", ""a29c2d51eef36dcc"", ""139ff0583f457b0b"", ""39d7528868849292"", ""9b93282aac20d87b"", ""1765f6fd996c06e9"", ""052f03b16dd4a022"", ""36ef0dc696a65227"", ""4162fa8708bdc033"", ""a20e3924802a511e""]"
scienceqa,tfidf,random,r017439,288e0ae1b81cd4ee,2,20,0.3958087142514735,0.4644308700052825,-0.06862215575380898,89ef4c6e6c4a0703,True,"[""89ef4c6e6c4a0703"", ""288e0ae1b81cd4ee"", ""1951dfd63e1726c3"", ""9bb744f4958c71ab"", ""7282ef67a5c62cea"", ""87a14cd1ae910fa7"", ""c2c1a52fd5259dc0"", ""162c11a56856ddef"", ""7e4ea86ac41ec774"", ""49a23a8be75b026f"", ""fbca2fa6a80f8720"", ""ed8e118249d5b90e"", ""1765f6fd996c06e9"", ""94bb9bb11bd84756"", ""435152c7f8be7c7b"", ""3bb66aff419a404b"", ""d7f94e2b2e30adf8"", ""cddc380467f9dcd9"", ""bda709441943fc36"", ""8cb764c2c86d64d4"", ""71304536c227c09b""]"
scienceqa,tfidf,random,r011439,d40bddaf8e2e6338,1,20,0.4656368094074479,0.11836304184265965,0.3472737675647882,d40bddaf8e2e6338,False,"[""d40bddaf8e2e6338"", ""50f87e05640ce35e"", ""041caa939306e924"", ""87a14cd1ae910fa7"", ""cb935720810e7a32"", ""e2612be2b2462733"", ""435152c7f8be7c7b"", ""7600edb9100bf449"", ""c942fc356e75e6b9"", ""7042749b738f0ddd"", ""139ff0583f457b0b"", ""514ae11d983a4657"", ""f97d24ba9ff825dd"", ""c131dfedc53df915"", ""513406850e3cb9f6"", ""dc5a235c6023dfaf"", ""5bccdf72a7eed5e0"", ""7c318ed7d3f37bfc"", ""be9d20756f09ff9c"", ""49c7b329b3f98125"", ""3cf105da7f6de4e2""]"
scienceqa,tfidf,random,r020290,2e813137fdb8a755,1,20,0.5421488390661502,0.04537147681738188,0.49677736224876834,2e813137fdb8a755,False,"[""2e813137fdb8a755"", ""b1f7074e14d09bcf"", ""3751cd01e0da011c"", ""647eb0b3138c9399"", ""7600edb9100bf449"", ""a04296555630f49d"", ""0bbd6f0aca3068f8"", ""3dfd17528d84ecd6"", ""fe6aa8530f2389e8"", ""435152c7f8be7c7b"", ""e638fe53d130b727"", ""99d31dbdd2b160fb"", ""514ae11d983a4657"", ""4b148110fefa0d41"", ""9b83dc5d0ef7c3fe"", ""5bccdf72a7eed5e0"", ""d5dc61ca3520dca3"", ""55723ef23d9bb82d"", ""80ab30502fc0c29e"", ""0ec77e382b13d2a9"", ""a50847323aad8f02""]"
scienceqa,tfidf,random,r008983,7638a5a0316ac331,1,20,0.41212800608563815,0.03431824366877544,0.3778097624168627,7638a5a0316ac331,False,"[""7638a5a0316ac331"", ""f04b15120e97198d"", ""2930696d1bd7ba57"", ""8cb764c2c86d64d4"", ""b9621daa8926e473"", ""bba21ddaa2e3e178"", ""f7f8493b842d2afe"", ""1faaa3cf0fa06278"", ""d7f94e2b2e30adf8"", ""87a14cd1ae910fa7"", ""505bc233ce52b12f"", ""2c2ceec048f02e8a"", ""b9d0dfd274661f29"", ""929e5feb0a89f2af"", ""8823eac00bda7913"", ""c940373cfac0bfc5"", ""c849542c69e55997"", ""f91f0888ee7ee0a3"", ""cb935720810e7a32"", ""ff4ed16548800b04"", ""cf3189fb7b944799""]"
scienceqa,tfidf,random,r015819,9b83dc5d0ef7c3fe,1,20,0.36712285021276525,0.2596542788794198,0.10746857133334548,9b83dc5d0ef7c3fe,False,"[""9b83dc5d0ef7c3fe"", ""c849542c69e55997"", ""e2612be2b2462733"", ""06da021a02d72bfb"", ""6f0ca7e43dc97088"", ""31c60745df3c09b7"", ""00c5f084f766d05e"", ""3dfd17528d84ecd6"", ""ed8e118249d5b90e"", ""7f22fc9eed4a9790"", ""4b148110fefa0d41"", ""0226eb7d6bdeb0b0"", ""4ad49ed1e9aa29a5"", ""1656c00ccb3216e4"", ""73db2bb9e0f10942"", ""513406850e3cb9f6"", ""d5dc61ca3520dca3"", ""ade72b4e1e5c0eb3"", ""3e4f24382404920c"", ""1c978026e6bc8534"", ""cb935720810e7a32""]"
scienceqa,tfidf,random,r000519,76b59884342e0f4d,1,20,0.31546015524282955,0.05155953977835702,0.2639006154644725,76b59884342e0f4d,False,"[""76b59884342e0f4d"", ""8332505ed3fb9819"", ""1ceaba7bff1870dd"", ""9bb744f4958c71ab"", ""514831104bf0b390"", ""4798d36539bfcac3"", ""73db2bb9e0f10942"", ""0226eb7d6bdeb0b0"", ""7f22fc9eed4a9790"", ""a04296555630f49d"", ""04688630018210f9"", ""162c11a56856ddef"", ""1765f6fd996c06e9"", ""6f0ca7e43dc97088"", ""f04b15120e97198d"", ""ade72b4e1e5c0eb3"", ""005e6cd45adce39b"", ""4162fa8708bdc033"", ""f7f8493b842d2afe"", ""919511751f3b04e7"", ""cb935720810e7a32""]"
scienceqa,tfidf,random,r006108,04aa28de99cfd31b,1,20,0.5654076121283805,0.06332770814276745,0.5020799039856131,04aa28de99cfd31b,False,"[""04aa28de99cfd31b"", ""66f839aaad7d5b87"", ""79415c7d1109bddb"", ""685f016bdef72207"", ""9701e9fd093d60c7"", ""1951dfd63e1726c3"", ""2c2ceec048f02e8a"", ""514831104bf0b390"", ""514ae11d983a4657"", ""6d65b93a58c95ffe"", ""50f87e05640ce35e"", ""1765f6fd996c06e9"", ""355acb17a404f78f"", ""d7f94e2b2e30adf8"", ""80ab30502fc0c29e"", ""a66317d5a396790a"", ""6e905a600bf1f54e"", ""649d8bc6f50d2c8d"", ""b1f7074e14d09bcf"", ""3dfd17528d84ecd6"", ""cb935720810e7a32""]"
scienceqa,tfidf,random,r000845,c11e719b75620351,1,20,0.24866108417441865,0.05331195688762705,0.1953491272867916,c11e719b75620351,False,"[""c11e719b75620351"", ""9b83dc5d0ef7c3fe"", ""57d79521a667ad42"", ""c131dfedc53df915"", ""647eb0b3138c9399"", ""46a02a17c9c9fcaf"", ""00c5f084f766d05e"", ""6e905a600bf1f54e"", ""649d8bc6f50d2c8d"", ""49a23a8be75b026f"", ""4ad49ed1e9aa29a5"", ""1faaa3cf0fa06278"", ""c940373cfac0bfc5"", ""f93ff296980b5f57"", ""a66317d5a396790a"", ""1c978026e6bc8534"", ""66f839aaad7d5b87"", ""7c318ed7d3f37bfc"", ""fed4ef36fa0084de"", ""b9d0dfd274661f29"", ""a29c2d51eef36dcc""]"
scienceqa,tfidf,random,r003535,1fbe6aa3e6836d61,1,20,0.39195969605347564,0.06586673449051095,0.3260929615629647,1fbe6aa3e6836d61,False,"[""1fbe6aa3e6836d61"", ""585196038de34dba"", ""4c6745e0b38ddbfa"", ""685f016bdef72207"", ""bda709441943fc36"", ""e68ce731f0cae2d6"", ""1765f6fd996c06e9"", ""3dfd17528d84ecd6"", ""7e4ea86ac41ec774"", ""ba9d4e92b2071516"", ""70a3a210ac40f255"", ""dc5a235c6023dfaf"", ""6b0e07224e747aaf"", ""41fbf731a88d58b1"", ""0f0c8a62fec16479"", ""d5dc61ca3520dca3"", ""3e4f24382404920c"", ""99d31dbdd2b160fb"", ""929e5feb0a89f2af"", ""36ef0dc696a65227"", ""a29c2d51eef36dcc""]"
scienceqa,tfidf,random,r018123,9b6dc57631d1cfc7,1,20,0.2216099044040881,0.067811961043755,0.1537979433603331,9b6dc57631d1cfc7,False,"[""9b6dc57631d1cfc7"", ""9b93282aac20d87b"", ""1faaa3cf0fa06278"", ""929e5feb0a89f2af"", ""6d3e9c5899d053b2"", ""647eb0b3138c9399"", ""f45081f076302dab"", ""e136dfd756b382bd"", ""c131dfedc53df915"", ""71304536c227c09b"", ""f4dbf115afd9259a"", ""fe9e4361f972bfcf"", ""7042749b738f0ddd"", ""fbca2fa6a80f8720"", ""b7d1455efa62a9a1"", ""f91f0888ee7ee0a3"", ""8b9881fd8b927077"", ""a20e3924802a511e"", ""fed4ef36fa0084de"", ""8823eac00bda7913"", ""b9d0dfd274661f29""]"
