annotation_id,resource_id,original_id,split,has_image,suggested_missing_type,candidate_reason,human_label,label_confidence,label_note,subject,topic,topic_count,topic_missing_rate,skill,skill_count,skill_missing_rate,grade,category,question,choices,answer,hint,lecture,solution,text_length,word_count
mt0001,r004595,r004595,train,1,observed_reference,has_image=1 reference sample for calibration,,,,natural science,biology,4098,0.486822840409956,Use scientific names to classify organisms,341,0.0,grade8,Classification and scientific names,Select the organism in the same genus as the American bullfrog.,Hyla cinerea | Lithobates palustris | Agalychnis callidryas,1,This organism is an American bullfrog. Its scientific name is Lithobates catesbeianus.,"Scientists use scientific names to identify organisms. Scientific names are made of two words. The first word in an organism's scientific name tells you the organism's genus. A genus is a group of organisms that share many traits. A genus is made up of one or more species. A species is a group of very similar organisms. The second word in an organism's scientific name tells you its species within its genus. Together, the two parts of an organism's scientific name identify its species. For example Ursus maritimus and Ursus americanus are two species of bears. They are part of the same genus, Ursus. But they are different species within the genus. Ursus maritimus has the species name mariti...","An American bullfrog's scientific name is Lithobates catesbeianus. The first word of its scientific name is Lithobates. Hyla cinerea is in the genus Hyla. The first word of its scientific name is Hyla. So, Hyla cinerea and Lithobates catesbeianus are not in the same genus. Lithobates palustris is in the genus Lithobates. The first word of its scientific name is Lithobates. So, Lithobates palustris and Lithobates catesbeianus are in the same genus. Agalychnis callidryas is in the genus Agalychnis. The first word of its scientific name is Agalychnis. So, Agalychnis callidryas and Lithobates catesbeianus are not in the same genus.",1724,276
mt0002,r018299,r018299,test,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,figurative-language,1260,1.0,Identify similes and metaphors,85,1.0,grade4,Literary devices,Which sentence uses a metaphor?,The cat's silver eyes were two shiny coins. | The cat's silver eyes were like two shiny coins.,0,,"Similes and metaphors are figures of speech that compare two things that are not actually alike. A simile compares two things by saying that one is like the other. Similes often use the words like and as. My sister runs like a cheetah. The sister's running and a cheetah's running are compared using the word like. A cheetah is known for running fast, so the simile means that the sister also runs fast. The cat's fur was as dark as the night. The cat's fur and the night are compared using the word as. The night is dark, so the simile means that the cat's fur is also dark. A metaphor compares two things by saying that one of them is the other. Unlike similes, metaphors don't use the word like...",This sentence uses a metaphor: The cat's silver eyes were two shiny coins. The words eyes and coins are compared without the word like or as. This sentence uses a simile: The cat's silver eyes were like two shiny coins. The words eyes and coins are compared using the word like.,1492,273
mt0003,r011496,r011496,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,biology,4098,0.486822840409956,Inherited and acquired traits: use evidence to support a statement,585,1.0,grade3,Heredity,What information supports the conclusion that Connor acquired this trait?,"Connor knits sweaters using cotton, wool, and other types of yarn. | Connor learned how to knit in an after school program.",1,"Read the description of a trait.
Connor knows how to knit sweaters.","Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.",,734,114
mt0004,r017277,r017277,test,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the reptile.,great white shark | olive toad | American alligator | western gorilla,2,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","An olive toad is an amphibian. It has moist skin and begins its life in water. Toads do not have teeth! They swallow their food whole. A great white shark is a fish. It lives underwater. It has fins, not limbs. Great white sharks can live for up to 70 years. A western gorilla is a mammal. It has fur and feeds its young milk. Gorillas live in groups called troops. The largest male in the troop is usually the leader. An American alligator is a reptile. It has scaly, waterproof skin. Alligators live in and around water. They can live near ponds, rivers, marshes, and lakes.",740,129
mt0005,r005406,r005406,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,physics,3215,0.3150855365474339,How are temperature and mass related to thermal energy?,125,1.0,grade6,Thermal energy,Which plate of spaghetti has less thermal energy?,the hotter plate of spaghetti | the colder plate of spaghetti,1,Two plates of spaghetti are identical except for their temperatures.,"Matter is made of tiny particles called atoms. Atoms are always moving. The energy of moving atoms is called thermal energy. The total amount of thermal energy in matter depends on three things: the type of matter, the amount of matter, and how fast the atoms are moving. Temperature measures how hot or cold matter is. If the atoms in matter slow down, the temperature goes down. The matter now has both less thermal energy and a lower temperature. What happens if the amount of matter changes? A 1-kilogram brick at 70°F has half as much thermal energy as a 2-kilogram brick at 70°F. The two bricks have the same temperature, but the smaller brick has half as many atoms. So, it has half as much...","The two plates of spaghetti are made of the same material and have the same mass. So, the colder plate of spaghetti has less thermal energy.",1040,182
mt0006,r009766,r009766,train,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the reptile.,Amazon tree boa | red-eyed tree frog | poison dart frog | salmon,0,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A salmon is a fish. It lives underwater. It has fins, not limbs. Unlike most other fish, salmon can live in both fresh water and salt water. An Amazon tree boa is a reptile. It has scaly, waterproof skin. Tree boas eat small mammals, birds, lizards, and frogs. Tree boas only need to eat once every few months! A red-eyed tree frog is an amphibian. It has moist skin and begins its life in water. A red-eyed tree frog has sticky pads on its toes. The sticky pads help the red-eyed tree frog hold on to leaves. A poison dart frog is an amphibian. It has moist skin and begins its life in water. Poison dart frogs come in many bright colors. Their bright color warns other animals that these frogs a...",869,156
mt0007,r013801,r013801,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,writing-strategies,1650,0.9157575757575758,Explore words with new or contested usages,215,1.0,grade9,Word usage and nuance,Which text uses the word nauseous in its traditional sense?,"Some people find caffeine nauseous, so they avoid coffee, soda, and energy drinks. | The high caffeine content in coffee, soda, and energy drinks can make some people nauseous.",0,,"Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner. When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences. Britney perused her notes, carefully preparing for her exam. The traditional usage above is considered more standard. David perused the magazine, absentmindedly fli...","The second text uses nauseous in its traditional sense: causing disgust or nausea. Some people find caffeine nauseous, so they avoid coffee, soda, and energy drinks. The first text uses nauseous in its nontraditional sense: feeling disgusted or nauseated. The high caffeine content in coffee, soda, and energy drinks can make some people nauseous. Most style guides recommend to use the traditional sense of the word nauseous because it is considered more standard.",1541,247
mt0008,r013087,r013087,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,figurative-language,1260,1.0,Classify figures of speech,95,1.0,grade7,Literary devices,Which figure of speech is used in this text? Edgar's '64 Impala groaned as he turned the ignition. Yet again he resolved to refurbish it over the summer.,personification | metaphor,0,,"Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive. Alliteration is the repetition of sounds at the beginning of nearby words. What a lucky little lady you are! An allusion is a brief reference to something or someone well known, often from history or literature. ""I'd better get home before I turn into a pumpkin!"" Lila remarked. An idiom is an expression that cannot be understood literally. Its meaning must be learned. The assignment was a piece of cake. A simile uses like or as to compare two things that are not actually alike. The cat's fur was as dark as the night. A metaphor compares two things that are not ac...","The text uses personification, giving human characteristics to nonhuman things. Edgar's '64 Impala groaned describes the car as if it were human.",1698,290
mt0009,r013947,r013947,validation,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,Identify functions of plant cell parts,10,1.0,grade7,Cells,"Select the part whose main job is to store nutrients, water, and waste in a plant cell.",Golgi | chromosomes | nucleus | vacuole,3,,Plant cells are made up of many different parts. Each cell part has a function that helps the cell survive and grow. Some cell parts are called organelles. Organelles are cell structures that are surrounded by their own membranes. Here are some of the organelles in plant cells: Chloroplasts and mitochondria work together to help the cell get the energy it needs. The chloroplasts use photosynthesis to make sugar. The mitochondria break down this sugar and release energy that the cell can use for all of its activities. The nucleus directs cell activities by sending instructions to different parts of the cell. The nucleus contains structures called chromosomes. The chromosomes are made mostl...,"The vacuole stores water, waste, and nutrients such as sugar. Plant cells usually have one vacuole.",2609,429
mt0010,r006253,r006253,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,figurative-language,1260,1.0,"Classify the figure of speech: anaphora, antithesis, apostrophe, assonance, chiasmus, understatement",65,1.0,grade11,Literary devices,"Which figure of speech is used in this text? Is this a dagger which I see before me, The handle toward my hand? Come, let me clutch thee. . . —William Shakespeare, Macbeth",antithesis | apostrophe,1,,"Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive. Anaphora is the repetition of the same word or words at the beginning of several phrases or clauses. We are united. We are powerful. We are winners. Antithesis involves contrasting opposing ideas within a parallel grammatical structure. I want to help, not to hurt. Apostrophe is a direct address to an absent person or a nonhuman entity. Oh, little bird, what makes you sing so beautifully? Assonance is the repetition of a vowel sound in a series of nearby words. Try to light the fire. Chiasmus is an expression in which the second half parallels the first but rever...","The text uses apostrophe, a direct address to an absent person or a nonhuman entity. Come, let me clutch thee is a direct address to a dagger, a nonhuman entity.",1294,227
