annotation_id,resource_id,original_id,split,has_image,suggested_missing_type,candidate_reason,human_label,label_confidence,label_note,subject,topic,topic_count,topic_missing_rate,skill,skill_count,skill_missing_rate,grade,category,question,choices,answer,hint,lecture,solution,text_length,word_count
mt0076,r010668,r010668,train,0,accidental_missing_candidate,has_image=0 but reliable topic/skill missing_rate <= 0.2; check sparse skill stats manually,,,,social science,us-history,510,0.0843137254901961,The War of 1812: causes,1,1.0,grade4,Early 19th century American history,The War of 1812 was between the United States and which other country?,Great Britain | Russia | France | Germany,0,,,The War of 1812 was between the United States and Great Britain.,186,30
mt0077,r014769,r014769,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,reference-skills,724,1.0,Use guide words,697,1.0,grade4,Reference skills,Would you find the word stork on a dictionary page with the following guide words? shy - single,no | yes,0,,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order. To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on. If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Put the words in alphabetical order. Since stork is not between the guide words shy - single, it would not be found on that page.",797,149
mt0078,r012250,r012250,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,physics,3215,0.3150855365474339,Compare the speeds of moving objects,200,1.0,grade3,Force and motion,Compare the motion of three motorboats. Which motorboat was moving at the lowest speed?,a motorboat that moved 175miles north in 5hours | a motorboat that moved 40miles west in 5hours | a motorboat that moved 195miles north in 5hours,1,,An object's speed tells you how fast the object is moving. Speed depends on both distance and time. Distance tells you how far the object has moved. One unit used to measure distance is the mile. Time tells you how long the object has spent moving. One unit used to measure time is the hour. Think about objects moving for the same amount of time. The object that is moving the slowest will go the shortest distance in that time. It is moving at the lowest speed.,"Look at the distance each motorboat moved and the time it took to move that distance. The direction each motorboat moved does not affect its speed. Notice that each motorboat moved for 5 hours. The motorboat that moved 40 miles moved the shortest distance in that time. So, that motorboat must have moved at the lowest speed.",1030,182
mt0079,r003997,r003997,train,1,observed_reference,has_image=1 reference sample for calibration,,,,social science,geography,2956,0.0040595399188092,Identify state capitals of the Southeast,298,0.0,grade3,State capitals,What is the capital of Arkansas?,Tallahassee | Baton Rouge | Fayetteville | Little Rock,3,,,Little Rock is the capital of Arkansas.,136,19
mt0080,r010531,r010531,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,units-and-measurement,870,1.0,Choose metric units of volume,99,1.0,grade5,Units and measurement,What is the volume of a kiddie pool?,"1,035 liters | 1,035 milliliters",0,Select the better estimate.,"Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means. Volume is a measurement of how much space something takes up. There are many different units of volume. When you are using metric units, volume may be written in units of milliliters or liters. There are 1,000 milliliters in 1 liter. So, 1 milliliter is much less than 1 liter. A raindrop has a volume of about 20 milliliters, while a large soda bottle has a volume of 2 liters. The flask shown here measures volumes up to 500 milliliters.","The better estimate for the volume of a kiddie pool is 1,035 liters. 1,035 milliliters is too little.",771,137
mt0081,r007542,r007542,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,biology,4098,0.486822840409956,Identify inherited and acquired traits,280,1.0,grade5,Traits and heredity,Is the following trait inherited or acquired? Trent can play the flute.,acquired | inherited,0,,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Children do not inherit their parents' acquired traits.","People are not born knowing how to play the flute. Instead, some people learn how to play. So, playing the flute is an acquired trait.",753,118
mt0082,r016334,r016334,validation,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the reptile.,coral snake | humpback whale | California toad | tiger salamander,0,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A coral snake is a reptile. It has scaly, waterproof skin. Coral snakes spend most of their time underground or hiding under leaves. A California toad is an amphibian. It has moist skin and begins its life in water. Toads do not have teeth! They swallow their food whole. A humpback whale is a mammal. It has hair and feeds its young milk. Whales are mammals that live in the ocean. Humpback whales have small hairs that grow from bumps around their mouth. A tiger salamander is an amphibian. It has moist skin and begins its life in water. Tiger salamanders often live in underground burrows.",753,127
mt0083,r004444,r004444,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,biology,4098,0.486822840409956,Genetics vocabulary: genotype and phenotype,251,1.0,grade6,Genes to traits,"Based on this information, what is Moby's phenotype for the tail spots trait?",an unspotted tail | ii,0,"In a group of guppies, some individuals have a spotted tail and others have an unspotted tail. In this group, the gene for the tail spots trait has two alleles. The allele I is for a spotted tail, and the allele i is for an unspotted tail.
Moby, a guppy from this group, has an unspotted tail. Moby has two alleles for an unspotted tail.","All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait. For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inh...","An organism's phenotype for a trait is its observable version of that trait. Moby's observable version of the tail spots trait is an unspotted tail. So, Moby's phenotype for the tail spots trait is an unspotted tail.",1770,309
mt0084,r015650,r015650,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,writing-strategies,1650,0.9157575757575758,Classify logical fallacies,373,1.0,grade7,Developing and supporting arguments,Which logical fallacy is used in the text? Mr. Hoffman argues that we need to do more to prevent workplace injuries and fatalities. I doubt that someone so socially awkward would know a thing about office safety.,"ad hominem: a personal attack against one's opponent | false causation: the assumption that because two things happened together, one caused the other",0,,"A strong argument uses valid reasoning and logic in support of a claim. When an argument or claim introduces irrelevant information or misrepresents the issues at hand, it may be committing a logical fallacy. Logical fallacies can hurt a writer's credibility and can lead readers to draw false conclusions. A logical fallacy may present irrelevant information: Fallacy | Description ad hominem | a personal attack meant to discredit one's opponent appeal to nature | an argument that assumes the natural choice is always the best choice bandwagon fallacy | an argument that assumes the popular choice is always the best choice circular reasoning | an argument that supports a claim with the claim ...",The text argues that being socially awkward determines knowledge of workplace safety. This is a personal attack that isn't relevant to Mr. Hoffman's desire to prevent workplace injuries. This illustrates a type of logical fallacy known as ad hominem.,1961,317
mt0085,r004484,r004484,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,verbs,251,1.0,"Is the sentence in the past, present, or future tense?",251,1.0,grade2,Verb tense,Which tense does the sentence use? Mrs. Blanchard sings a pretty song.,present tense | future tense | past tense,0,,"Present tense verbs tell you about something that is happening now. Most present-tense verbs are regular. They have no ending, or they end in -s or -es. Two verbs are irregular in the present tense, to be and to have. You must remember their forms. Past tense verbs tell you about something that has already happened. Most past-tense verbs are regular. They end in -ed. Some verbs are irregular in the past tense. You must remember their past-tense forms. Future tense verbs tell you about something that is going to happen. All future-tense verbs use the word will. Present | Past | Future walk, walks | walked | will walk go, goes | went | will go","The sentence is in present tense. You can tell because it uses a present-tense verb, sings. The verb ends in -s and tells you about something that is true or happening now.",942,167
