annotation_id,resource_id,original_id,split,has_image,suggested_missing_type,candidate_reason,human_label,label_confidence,label_note,subject,topic,topic_count,topic_missing_rate,skill,skill_count,skill_missing_rate,grade,category,question,choices,answer,hint,lecture,solution,text_length,word_count
mt0151,r019161,r019161,test,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,social science,economics,682,0.563049853372434,Goods and services,79,1.0,grade2,Economics,Is fixing a computer a good or a service?,a service | a good,0,,"Everything you can buy is either a good or a service. A good is something you can touch or hold in your hands. For example, a hammer is a good. A service is a job you pay someone else to do. For example, cooking food in a restaurant is a service.","To decide whether fixing a computer is a good or a service, ask these questions: Is fixing a computer something you can touch? No. Is fixing a computer a job you might pay someone else to do? Yes. So, fixing a computer is a service.",546,109
mt0152,r020573,r020573,test,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,chemistry,1194,0.5510887772194305,Identify elementary substances and compounds using chemical formulas,25,1.0,grade5,Atoms and molecules,Select the elementary substance.,krypton (Kr) | potassium nitrate (KNO3) | sulfur dioxide (SO2),0,,"Every substance around you is made of one or more chemical elements, or types of atoms. Substances that are made of only one chemical element are elementary substances. Substances that are made of two or more chemical elements bonded together are compounds. Every chemical element is represented by its own symbol. For some elements, the symbol is one capital letter. For other elements, the symbol is one capital letter and one lowercase letter. For example, the symbol for the element fluorine is F, and the symbol for the element beryllium is Be. The symbol for each element in a substance is shown in the substance's chemical formula. An elementary substance is represented by a chemical formu...","Look at the chemical formula for each substance, and count the number of symbols in the formula. Then, decide if the substance is an elementary substance. The chemical formula for sulfur dioxide contains two symbols: S for sulfur and O for oxygen. So, sulfur dioxide is made of two chemical elements bonded together. Substances that are made of two or more chemical elements bonded together are compounds. So, sulfur dioxide is a compound, not an elementary substance. The chemical formula for krypton contains one symbol: Kr. So, krypton is made of one chemical element. Substances that are made of one chemical element are elementary substances. So, krypton is an elementary substance. The chemi...",2909,473
mt0153,r002715,r002715,train,1,observed_reference,has_image=1 reference sample for calibration,,,,social science,geography,2956,0.0040595399188092,Identify state capitals of the Southeast,298,0.0,grade5,State capitals,What is the capital of Oklahoma?,Oklahoma City | Tulsa | Tallahassee | Frankfort,0,,,Oklahoma City is the capital of Oklahoma.,131,18
mt0154,r002731,r002731,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,biology,4098,0.486822840409956,Identify animals with and without backbones,53,1.0,grade2,Classification,Select the animal that does not have a backbone.,luna moth | American crocodile,0,"Hint: Insects, spiders, and worms do not have backbones.","Some animals have a backbone. The backbone is made of many bones in an animal's back. An animal's backbone helps connect the different parts of its body. In the drawings below, each animal's backbone is colored orange. Other animals do not have a backbone. In fact, these animals don't have any bones! Some animals without backbones have a hard outer cover. Other animals have a soft body.","An American crocodile is a reptile. Like other reptiles, an American crocodile has a backbone. A luna moth is an insect. Like other insects, a luna moth does not have a backbone. It has a hard outer cover.",737,127
mt0155,r007795,r007795,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,figurative-language,1260,1.0,Classify the figure of speech: review,82,1.0,grade11,Literary devices,"Which figure of speech is used in this text? Patience is bitter, but its fruit is sweet! —Jean-Jacques Rousseau, Julie, or the New Heloise",antithesis | anaphora,0,,"Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive. Anaphora is the repetition of the same word or words at the beginning of several phrases or clauses. We are united. We are powerful. We are winners. Antithesis involves contrasting opposing ideas within a parallel grammatical structure. I want to help, not to hurt. Apostrophe is a direct address to an absent person or a nonhuman entity. Oh, little bird, what makes you sing so beautifully? Assonance is the repetition of a vowel sound in a series of nearby words. Try to light the fire. Chiasmus is an expression in which the second half parallels the first but rever...","The text uses antithesis, the contrasting of opposing ideas within a parallel grammatical structure. Rousseau contrasts two parallel clauses, patience is bitter and fruit is sweet.",1845,313
mt0156,r000891,r000891,train,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the fish.,humpback whale | piranha | zebra | gharial,1,,"Fish live underwater. They have fins, not limbs.","A gharial is a reptile. It has scaly, waterproof skin. Gharials are a type of crocodile. Gharials live near rivers and eat fish. A zebra is a mammal. It has hair and feeds its young milk. Zebras eat mostly grass. But they sometimes eat other types of plants, such as shrubs or tree bark. A humpback whale is a mammal. It has hair and feeds its young milk. Whales are mammals that live in the ocean. Humpback whales have small hairs that grow from bumps around their mouth. A piranha is a fish. It lives underwater. It has fins, not limbs. Piranhas have sharp teeth. Piranhas hunt in groups. A group of piranhas can eat a large animal.",751,134
mt0157,r016332,r016332,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,chemistry,1194,0.5510887772194305,Classify elementary substances and compounds using chemical formulas,82,1.0,grade5,Atoms and molecules,Complete the statement. Methane is ().,an elementary substance | a compound,1,"Methane is the main component of natural gas, which is used in homes for heating and cooking. The chemical formula for methane is CH4.","Every substance around you is made of one or more chemical elements, or types of atoms. Substances that are made of only one chemical element are elementary substances. Substances that are made of two or more chemical elements bonded together are compounds. Every chemical element is represented by its own symbol. For some elements, the symbol is one capital letter. For other elements, the symbol is one capital letter and one lowercase letter. For example, the symbol for the element fluorine is F, and the symbol for the element beryllium is Be. The symbol for each element in a substance is shown in the substance's chemical formula. An elementary substance is represented by a chemical formu...","You can tell whether methane is an elementary substance or a compound by counting the number of symbols in its chemical formula. A symbol contains either one capital letter or a capital letter followed by one or two lowercase letters. The chemical formula for methane is CH4. This formula contains two symbols: C for carbon and H for hydrogen. So, the formula tells you that methane is made of two chemical elements bonded together. Substances made of two or more chemical elements bonded together are compounds. So, methane is a compound.",2527,422
mt0158,r013821,r013821,validation,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the reptile.,Hermann's tortoise | bottlenose dolphin | zebra | European green toad,0,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A European green toad is an amphibian. It has moist skin and begins its life in water. Toads do not have teeth! They swallow their food whole. A bottlenose dolphin is a mammal. It has hair and feeds its young milk. Dolphins may look like sharks or other fish, but they are mammals! When a baby dolphin is born, it has hair around its jaw. This hair falls out as the dolphin grows. A Hermann's tortoise is a reptile. It has scaly, waterproof skin. A tortoise's shell protects it from predators. When a tortoise feels threatened, it can pull its head and legs inside its shell. A zebra is a mammal. It has hair and feeds its young milk. Zebras eat mostly grass. But they sometimes eat other types of...",898,158
mt0159,r007228,r007228,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,reference-skills,724,1.0,Use guide words,697,1.0,grade3,Reference skills,Which word would you find on a dictionary page with the following guide words? weary - win,wonder | whale,1,,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order. To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on. If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Put the words in alphabetical order. Since whale is between the guide words weary - win, it would be found on that page.",789,146
mt0160,r013861,r013861,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,reference-skills,724,1.0,Use guide words,697,1.0,grade4,Reference skills,Which word would you find on a dictionary page with the following guide words? galleon - glorious,gently | goose,0,,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order. To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on. If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Put the words in alphabetical order. Since gently is between the guide words galleon - glorious, it would be found on that page.",804,146
