annotation_id,resource_id,original_id,split,has_image,suggested_missing_type,candidate_reason,human_label,label_confidence,label_note,subject,topic,topic_count,topic_missing_rate,skill,skill_count,skill_missing_rate,grade,category,question,choices,answer,hint,lecture,solution,text_length,word_count
mt0226,r013822,r013822,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,phonological-awareness,97,1.0,Which word does not rhyme?,97,1.0,grade2,Rhyming,Which word does not rhyme?,feed | keep | seed,1,,"Rhyming words are words that end with the same sound. The words tip and slip rhyme. They both end with the same sound. The words meet and treat also rhyme. They both end with the same sound, even though the sound has two different spellings. The words tip and meet don't rhyme. They end with different sounds.",The words feed and seed rhyme. They both end with the eed sound. The word keep does not rhyme. It ends with a different sound.,489,90
mt0227,r000145,r000145,train,1,observed_reference,has_image=1 reference sample for calibration,,,,language science,reading-comprehension,84,0.4523809523809523,Read and understand informational passages,20,0.0,grade2,Independent reading comprehension,What did the scientists discover?,a sea turtle that can fly | a sea turtle with a glowing shell,1,"Read the passage about a new discovery.
A few scientists were looking for sharks when they saw something surprising. They found a sea turtle that glowed! The turtle's shell was bright red and green. This was a new discovery. Scientists had never seen a sea turtle with a glowing shell before.
Scientists want to know why these turtles have a shell that glows. Sadly, there are not many of these turtles left in the world. So, it is hard to learn about them.",,Look at the passage. It tells you what the scientists discovered. A few scientists were looking for sharks when they saw something surprising. They found a sea turtle that glowed! The turtle's shell was bright red and green. This was a new discovery. Scientists had never seen a sea turtle with a glowing shell before.,878,156
mt0228,r015316,r015316,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,writing-strategies,1650,0.9157575757575758,Identify vague pronoun references,261,1.0,grade7,Pronouns and antecedents,Which of the following contains a vague pronoun reference?,"After Mr. Vance finished performing with Mr. Patton, Mary went up and thanked him. | Mary went up and thanked Mr. Vance after he finished performing with Mr. Patton.",0,,"When writing, make sure to avoid vague pronoun references. A vague pronoun reference occurs when a pronoun could refer to more than one possible antecedent. When Lisa and Kim finally landed, she breathed a sigh of relief. The pronoun she could refer to either Lisa or Kim, so the meaning of the sentence is unclear. Vague pronoun references can be corrected in one of two ways: 1. Replace the pronoun with its correct antecedent: When Lisa and Kim finally landed, Lisa breathed a sigh of relief. 2. Rewrite the sentence: Lisa breathed a sigh of relief when she and Kim finally landed. A vague pronoun reference also occurs when they, them, their, theirs, it, or its is used without its antecedent....","The first answer choice contains a vague pronoun reference. The pronoun him could refer to Mr. Vance or Mr. Patton. After Mr. Vance finished performing with Mr. Patton, Mary went up and thanked him. The second answer choice shows a possible correction for the vague pronoun reference. The text has been rewritten so that the meaning is clear. Mary went up and thanked Mr. Vance after he finished performing with Mr. Patton.",1666,284
mt0229,r006020,r006020,train,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,Identify ecosystems,15,1.0,grade4,Ecosystems,Select the wetland ecosystem.,"This ecosystem has:
daily flooding and draining of seawater
water that is rich in nutrients
many different types of organisms | This ecosystem has:
land that is covered with water during most of the year
soil that is rich in nutrients
other water ecosystems nearby",1,,"An environment includes all of the biotic, or living, and abiotic, or nonliving, things in an area. An ecosystem is created by the relationships that form among the biotic and abiotic parts of an environment. There are many different types of ecosystems. Here are some ways in which these ecosystems can differ from each other: the pattern of weather, or climate the type of soil or water the organisms that live there","A wetland is a type of ecosystem. It has land that is covered with water during most of the year, soil that is rich in nutrients, and other water ecosystems nearby. Choice 1 is a wetland ecosystem. It is covered with water for most of the year. Wetlands also have soil that is rich in nutrients. Choice 2 is a tide pool ecosystem. Several times each day, it floods with seawater. Then the water drains back into the ocean.",1148,193
mt0230,r008474,r008474,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,reference-skills,724,1.0,Use guide words,697,1.0,grade4,Reference skills,Would you find the word admire on a dictionary page with the following guide words? actually - afraid,yes | no,0,,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order. To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on. If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Put the words in alphabetical order. Since admire is between the guide words actually - afraid, it would be found on that page.",801,147
mt0231,r011933,r011933,train,0,accidental_missing_candidate,has_image=0 but reliable topic/skill missing_rate <= 0.2; check sparse skill stats manually,,,,social science,us-history,510,0.0843137254901961,Theodore Roosevelt,1,1.0,grade3,Historical figures,Complete the sentence. Theodore Roosevelt is best known as () from the early 1900s.,an inventor | a president | a pilot | an artist,1,,,Theodore Roosevelt was president of the United States in the early 1900 s. He was president for nearly eight years.,256,42
mt0232,r008245,r008245,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,chemistry,1194,0.5510887772194305,Compare physical and chemical changes,447,1.0,grade8,Chemical reactions,What do these two changes have in common? pouring milk on oatmeal sanding a piece of wood,Both are only physical changes. | Both are caused by heating. | Both are caused by cooling. | Both are chemical changes.,0,,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule. In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different. Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form dif...","Step 1: Think about each change. Pouring milk on oatmeal is a physical change. The oatmeal and milk form a creamy mixture. But making this mixture does not form a different type of matter. Sanding a piece of wood is a physical change. The wood becomes smoother, but it is still made of the same type of matter. Step 2: Look at each answer choice. Both are only physical changes. Both changes are physical changes. No new matter is created. Both are chemical changes. Both changes are physical changes. They are not chemical changes. Both are caused by heating. Neither change is caused by heating. Both are caused by cooling. Neither change is caused by cooling.",2285,395
mt0233,r008539,r008539,train,0,accidental_missing_candidate,has_image=0 but reliable topic/skill missing_rate <= 0.2; check sparse skill stats manually,,,,social science,us-history,510,0.0843137254901961,The American Revolution: conclusion and aftermath,1,1.0,grade4,The American Revolution,"Complete the text. After losing the Battles of Saratoga, British leaders changed their plans for the war. In 1778, they decided their main goal should be to control ().",the Southern Colonies | the Middle Colonies | New England | the port of New Orleans,0,,,"In 1778, the British leaders decided their main goal should be to control the Southern Colonies. After the Battles of Saratoga, the British gave up hope of controlling New England or the Middle Colonies. The port of New Orleans was under Spanish control.",516,85
mt0234,r013848,r013848,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,biology,4098,0.486822840409956,Identify animals with and without backbones,53,1.0,grade2,Classification,Select the animal that has a backbone.,fly | human,1,"Hint: Mammals, birds, fish, reptiles, and amphibians all have backbones.","Some animals have a backbone. The backbone is made of many bones in an animal's back. An animal's backbone helps connect the different parts of its body. In the drawings below, each animal's backbone is colored orange. Other animals do not have a backbone. In fact, these animals don't have any bones! Some animals without backbones have a hard outer cover. Other animals have a soft body.","A human is a mammal. Like other mammals, a human has a backbone. A fly is an insect. Like other insects, a fly does not have a backbone. It has a hard outer cover.",682,120
mt0235,r018884,r018884,test,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,physics,3215,0.3150855365474339,Compare the speeds of moving objects,200,1.0,grade2,Force and motion,Compare the motion of two geese. Which goose was moving at a lower speed?,a goose that moved 190miles in 5hours | a goose that moved 235miles in 5hours,0,,An object's speed tells you how fast the object is moving. Speed depends on both distance and time. Distance tells you how far the object has moved. One unit used to measure distance is the mile. Time tells you how long the object has spent moving. One unit used to measure time is the hour. Think about two objects moving for the same amount of time. The object that is moving slower will go a shorter distance in that time. It is moving at a lower speed.,"Look at the distance each goose moved and the time it took to move that distance. One goose moved 190 miles in 5 hours. The other goose moved 235 miles in 5 hours. Notice that each goose spent the same amount of time moving. The goose that moved 190 miles moved a shorter distance in that time. So, that goose must have moved at a lower speed.",958,182
